"Story","Title","Result","Date","Stability","Duration (s)"
"As a user on login page","User input valid email and password","SUCCESS","2022-07-09T18:22:13.6689295+07:00[Asia/Jakarta]","0.0","0.41"
"As a user on login page","User input valid email and unvalid password","SUCCESS","2022-07-09T18:22:14.084329+07:00[Asia/Jakarta]","0.0","0.9"
"As a user on login page","User input unvalid email and valid password","SUCCESS","2022-07-09T18:22:14.9921502+07:00[Asia/Jakarta]","0.0","0.32"
"As a user on login page","User input unvalid email and unvalid password","SUCCESS","2022-07-09T18:22:15.3138957+07:00[Asia/Jakarta]","0.0","0.33"
"As a user on register page","User register with valid data","SUCCESS","2022-07-09T18:22:16.3478779+07:00[Asia/Jakarta]","0.0","0.69"
"As a user on register page","User register but no input firstname","SUCCESS","2022-07-09T18:22:17.04242+07:00[Asia/Jakarta]","0.0","0.51"
"As a user on register page","User register but no input lastname","SUCCESS","2022-07-09T18:22:17.5570419+07:00[Asia/Jakarta]","0.0","0.47"
"As a user on register page","User register but no input email","SUCCESS","2022-07-09T18:22:18.0330753+07:00[Asia/Jakarta]","0.0","0.44"
"As a user on register page","User register but no input password","SUCCESS","2022-07-09T18:22:18.4769076+07:00[Asia/Jakarta]","0.0","0.37"
"As a user on register page","User register but no input tanggal lahir","SUCCESS","2022-07-09T18:22:18.8482539+07:00[Asia/Jakarta]","0.0","0.43"
"As a user on register page","User register but no input jenis kelamin","SUCCESS","2022-07-09T18:22:19.2830158+07:00[Asia/Jakarta]","0.0","0.47"
