"Story","Title","Result","Date","Stability","Duration (s)"
"User on landing page","User membuka page pertanyaan","SUCCESS","2022-07-11T14:22:43.8477661+07:00[Asia/Bangkok]","0.0","24.22"
"User on landing page","user membuka notifikasi","SUCCESS","2022-07-11T14:23:29.3937178+07:00[Asia/Bangkok]","0.0","17.29"
"User on landing page","User membuka Explore","SUCCESS","2022-07-11T14:24:10.2258088+07:00[Asia/Bangkok]","0.0","15.3"
"User on landing page","User membuka Trending","SUCCESS","2022-07-11T14:24:26.4280313+07:00[Asia/Bangkok]","0.0","12.71"
"User on landing page","User membuka message","SUCCESS","2022-07-11T14:24:40.2180778+07:00[Asia/Bangkok]","0.0","14.22"
"User on landing page","User membuka Bookmarks","SUCCESS","2022-07-11T14:24:55.4282253+07:00[Asia/Bangkok]","0.0","13.13"
"User on landing page","User membuka Jawab","SUCCESS","2022-07-11T14:25:09.7133054+07:00[Asia/Bangkok]","0.0","14.09"
"User on landing page","User membuka Ruang","SUCCESS","2022-07-11T14:25:24.7964475+07:00[Asia/Bangkok]","0.0","12.33"
"User on landing page","User membuka Profil","SUCCESS","2022-07-11T14:25:37.9958088+07:00[Asia/Bangkok]","0.0","16.62"
"User on landing page","User membuat Thread","SUCCESS","2022-07-11T14:25:55.7768492+07:00[Asia/Bangkok]","0.0","17.01"
